detector,condition,filename,true_label,generator,fake_score,predicted_label,correct
M1_MesoNet,jpeg_q90,img_001_real.png,REAL,REAL,0.0037,REAL,True
M1_MesoNet,jpeg_q90,img_002_real.png,REAL,REAL,0.0034,REAL,True
M1_MesoNet,jpeg_q90,img_003_real.png,REAL,REAL,0.0128,REAL,True
M1_MesoNet,jpeg_q90,img_004_real.png,REAL,REAL,0.0088,REAL,True
M1_MesoNet,jpeg_q90,img_005_real.png,REAL,REAL,0.0037,REAL,True
M1_MesoNet,jpeg_q90,img_006_real.png,REAL,REAL,0.0062,REAL,True
M1_MesoNet,jpeg_q90,img_007_real.png,REAL,REAL,0.0082,REAL,True
M1_MesoNet,jpeg_q90,img_008_real.png,REAL,REAL,0.0058,REAL,True
M1_MesoNet,jpeg_q90,img_009_real.png,REAL,REAL,0.0872,REAL,True
M1_MesoNet,jpeg_q90,img_010_real.png,REAL,REAL,0.0044,REAL,True
M1_MesoNet,jpeg_q90,img_011_real.png,REAL,REAL,0.0016,REAL,True
M1_MesoNet,jpeg_q90,img_012_real.png,REAL,REAL,0.0035,REAL,True
M1_MesoNet,jpeg_q90,img_013_real.png,REAL,REAL,0.0118,REAL,True
M1_MesoNet,jpeg_q90,img_014_real.png,REAL,REAL,0.0367,REAL,True
M1_MesoNet,jpeg_q90,img_015_real.png,REAL,REAL,0.0037,REAL,True
M1_MesoNet,jpeg_q90,img_016_real.png,REAL,REAL,0.0034,REAL,True
M1_MesoNet,jpeg_q90,img_017_real.png,REAL,REAL,0.0014,REAL,True
M1_MesoNet,jpeg_q90,img_018_real.png,REAL,REAL,0.0128,REAL,True
M1_MesoNet,jpeg_q90,img_019_real.png,REAL,REAL,0.0088,REAL,True
M1_MesoNet,jpeg_q90,img_020_real.png,REAL,REAL,0.0025,REAL,True
M1_MesoNet,jpeg_q90,img_001_fakeA.png,FAKE,A,0.0437,REAL,False
M1_MesoNet,jpeg_q90,img_002_fakeA.png,FAKE,A,0.1772,REAL,False
