detector,condition,filename,true_label,generator,fake_score,predicted_label,correct
M5_EfficientNetB0,jpeg_q90,img_001_real.png,REAL,REAL,0.103,REAL,True
M5_EfficientNetB0,jpeg_q90,img_002_real.png,REAL,REAL,0.3042,REAL,True
M5_EfficientNetB0,jpeg_q90,img_003_real.png,REAL,REAL,0.1353,REAL,True
M5_EfficientNetB0,jpeg_q90,img_004_real.png,REAL,REAL,0.0436,REAL,True
M5_EfficientNetB0,jpeg_q90,img_005_real.png,REAL,REAL,0.1307,REAL,True
M5_EfficientNetB0,jpeg_q90,img_006_real.png,REAL,REAL,0.0166,REAL,True
M5_EfficientNetB0,jpeg_q90,img_007_real.png,REAL,REAL,0.0002,REAL,True
M5_EfficientNetB0,jpeg_q90,img_008_real.png,REAL,REAL,0.0255,REAL,True
M5_EfficientNetB0,jpeg_q90,img_009_real.png,REAL,REAL,0.0849,REAL,True
M5_EfficientNetB0,jpeg_q90,img_010_real.png,REAL,REAL,0.4548,REAL,True
M5_EfficientNetB0,jpeg_q90,img_011_real.png,REAL,REAL,0.1058,REAL,True
M5_EfficientNetB0,jpeg_q90,img_012_real.png,REAL,REAL,0.0054,REAL,True
M5_EfficientNetB0,jpeg_q90,img_013_real.png,REAL,REAL,0.0052,REAL,True
M5_EfficientNetB0,jpeg_q90,img_014_real.png,REAL,REAL,0.0023,REAL,True
M5_EfficientNetB0,jpeg_q90,img_015_real.png,REAL,REAL,0.103,REAL,True
M5_EfficientNetB0,jpeg_q90,img_016_real.png,REAL,REAL,0.3042,REAL,True
M5_EfficientNetB0,jpeg_q90,img_017_real.png,REAL,REAL,0.4204,REAL,True
M5_EfficientNetB0,jpeg_q90,img_018_real.png,REAL,REAL,0.1353,REAL,True
M5_EfficientNetB0,jpeg_q90,img_019_real.png,REAL,REAL,0.0436,REAL,True
M5_EfficientNetB0,jpeg_q90,img_020_real.png,REAL,REAL,0.0093,REAL,True
M5_EfficientNetB0,jpeg_q90,img_001_fakeA.png,FAKE,A,0.0306,REAL,False
M5_EfficientNetB0,jpeg_q90,img_002_fakeA.png,FAKE,A,0.0135,REAL,False
M5_EfficientNetB0,jpeg_q90,img_003_fakeA.png,FAKE,A,0.9992,FAKE,True
M5_EfficientNetB0,jpeg_q90,img_004_fakeA.png,FAKE,A,0.0195,REAL,False
M5_EfficientNetB0,jpeg_q90,img_005_fakeA.png,FAKE,A,0.9099,FAKE,True
M5_EfficientNetB0,jpeg_q90,img_006_fakeA.png,FAKE,A,0.0,REAL,False
M5_EfficientNetB0,jpeg_q90,img_007_fakeA.png,FAKE,A,0.9963,FAKE,True
